Distance;Elapsed Time;Elevation High;Elevation Gain;Weekday;Bike Type
34,61;5113;328,0;143,0;Thursday;race bike
26,8;4011;493,6;380,0;Monday;race bike
35,51;6719;306,8;129,0;Wednesday;trecking bike
34,72;5350;309,9;61,93;Monday;
33,66;4825;515,4;464,0;Sunday;race bike
35,17;5130;496,8;496,0;Saturday;race bike
26,34;5643;510,4;459,0;Monday;mtb
41,32;5701;491,8;546,0;Saturday;
40,55;6468;505,8;479,0;Sunday;race bike
30,58;4734;381,0;288,0;Friday;race bike
35,21;6093;392,6;161,0;Thursday;trecking bike
25,14;3867;491,8;380,0;Thursday;race bike
11,52;3766;333,4;104,0;Saturday;trecking bike
13,27;2231;489,2;190,1;Thursday;race bike
24,54;3290;491,0;265,0;Sunday;
20,72;3659;505,4;347,0;Monday;race bike
35,39;6272;342,0;205,0;Friday;
148,49;21362;543,0;1444,0;Sunday;trecking bike
35,19;5571;498,0;504,0;Sunday;
36,51;5666;669,4;474,0;Saturday;race bike
34,38;5422;304,0;125,0;Monday;trecking bike
35,18;5327;310,4;112,76;Friday;
18,24;4751;27,7;62,84;Tuesday;
25,99;5684;26,8;155,57;Thursday;mtb
35,0;5206;383,8;181,0;Tuesday;trecking bike
48,77;8312;493,2;1010,0;Thursday;race bike
1,53;8710;395,0;79,0;Saturday;
136,72;26428;2766,8;2355,0;Wednesday;race bike
30,49;4744;499,8;446,0;Thursday;race bike
32,26;5033;37,0;216,49;Friday;mtb
50,72;7290;505,2;672,0;Monday;race bike
69,09;10454;712,6;941,0;Wednesday;race bike
114,79;24330;492,8;1071,0;Monday;
103,61;14849;513,2;921,0;Wednesday;race bike
34,96;5361;330,2;117,0;Tuesday;trecking bike
25,12;3984;499,8;386,0;Saturday;race bike
34,9;5243;342,4;170,0;Tuesday;trecking bike
76,46;12377;762,4;1171,0;Friday;race bike
34,76;4912;335,2;185,0;Friday;race bike
35,07;5999;318,4;131,0;Thursday;trecking bike
35,0;5171;309,8;71,88;Monday;
126,37;25279;508,4;1591,0;Wednesday;
103,07;15910;813,2;1140,0;Saturday;race bike
24,28;3465;418,6;279,0;Sunday;race bike
35,3;5311;316,0;150,0;Wednesday;race bike
10,44;2467;325,6;106,0;Friday;trecking bike
36,11;5713;380,2;146,0;Thursday;trecking bike
101,23;16801;201,8;525,0;Saturday;race bike
37,71;5973;310,2;113,39;Tuesday;
27,18;4364;496,0;423,0;Thursday;race bike
